,AEW541,AEW541_IC_50,Nilotinib,Nilotinib_IC_50,17-AAG,17-AAG_IC_50,PHA-665752,PHA-665752_IC_50,Lapatinib,Lapatinib_IC_50,Nutlin-3,Nutlin-3_IC_50,AZD0530,AZD0530_IC_50,PF2341066,PF2341066_IC_50,L-685458,L-685458_IC_50,ZD-6474,ZD-6474_IC_50,Panobinostat,Panobinostat_IC_50,Sorafenib,Sorafenib_IC_50,Irinotecan,Irinotecan_IC_50,Topotecan,Topotecan_IC_50,LBW242,LBW242_IC_50,PD-0325901,PD-0325901_IC_50,PD-0332991,PD-0332991_IC_50,Paclitaxel,Paclitaxel_IC_50,AZD6244,AZD6244_IC_50,PLX4720,PLX4720_IC_50,RAF265,RAF265_IC_50,TAE684,TAE684_IC_50,TKI258,TKI258_IC_50,Erlotinib,Erlotinib_IC_50
LN18_CENTRAL_NERVOUS_SYSTEM,1.4906,4.497424126,0.4477,8,5.1669,0.060397994,1.2814,3.491163015,0.369,8,0.1367,8,0.7022,8,1.6642,2.239868879,0.5255,5.849557987,NA,NA,4.2477,0.072643109,0.4215,8,2.4904,0.750220239,3.3191,0.319844007,1.2075,8,0.7033,8,0.05377,8,5.1481,0.053672485,0.2497,8,NA,NA,1.8471,0.980935752,1.3576,1.152779936,1.2562,2.489178896,0.3233,8
HEPG2_LIVER,1.529,2.963089466,0.239,8,5.3606,0.022530433,0.2249,5.555599213,0.2365,8,0.6041,8,0.3882,8,0.744,8,0.07509,8,0.8542,8,4.9398,0.033924446,0.2541,8,3.224,0.189004108,2.7849,0.428559452,0.7298,8,3.9209,0.022851815,0.8202,8,4.8993,0.009877518,3.0232,0.24894993,1.1158,4.706068516,1.58,2.774068356,1.5851,0.550195515,0.9497,5.150391102,0.1433,8
MIAPACA2_PANCREAS,1.4882,2.861631393,0.259,8,4.5336,0.020956876,0.5045,8,0.429,7.469959259,0.23,8,1.5617,8,1.0965,3.012937069,0.02159,8,1.3838,6.538567543,5.4217,0.019623013,0.7994,8,3.4062,0.21262221,3.8799,0.130220592,0.3787,8,3.7488,0.064959936,0.3324,8,5.7431,0.004052021,2.824,0.225029752,0.1083,8,1.3487,2.609743357,2.0974,1.236670732,0.735,5.867885113,0.07553,8
MCAS_OVARY,0.913,6.092284679,0.1668,8,3.6897,0.072973058,0.02942,8,0.6464,6.324099541,0,8,0.8336,8,0.612,5.293410778,0.03493,8,0.8651,8,4.1673,0.079792894,0.4575,8,2.8648,0.814044297,2.5156,0.59492451,0.3144,8,2.0873,0.94524008,0.06381,8,6.4269,0.006575953,0.7299,6.324002743,0,8,0.9551,7.480409145,1.0451,3.335100889,0.7375,7.655484676,0.05463,8
SBC5_LUNG,0.6521,5.445501804,0.5386,8,2.6699,0.141069055,0.2232,8,0.2793,8,0.5119,8,0.04244,8,0.8519,1.574698687,0.024,8,0.1834,8,4.3195,0.022658857,0.539,5.130649567,3.3657,0.212178454,3.162,0.217956498,0.3379,8,0.9161,1.338297009,0.02076,8,6.4903,0.0025,0.5487,8,0.1305,8,0.5404,5.900244713,0.6623,1.863162994,1.0095,5.201836586,0.1555,8
IPC298_SKIN,0.9805,4.911699772,0.2386,8,3.5373,0.08109536,0.1498,8,0.2847,8,0.01412,8,0.04946,8,0.1298,8,0.1943,8,0.7882,8,4.117,0.054005791,0.6293,7.745028973,3.1056,0.35077408,2.6856,0.457936704,0.1968,8,5.61,0.006270713,0.09373,8,5.3262,0.0025,3.8036,0.074961409,0.5122,8,3.249,0.125808135,0.4449,8,1.4256,1.689194798,0.5104,6.998702526
CAPAN2_PANCREAS,1.657,0.432746449,0.7497,0.062944786,3.905,0.046125766,0.1632,8,0.6047,8,0.7347,8,1.7225,1.103565097,1.1095,0.214682548,0,8,1.9235,8,3.4812,0.068531349,0,8,1.5901,0.875530243,1.2993,1.211455703,0.3136,8,3.115,0.077857971,0.3713,8,3.4066,0.002542614,1.5237,0.503727555,0.3741,8,0.8736,1.161611546,2.4551,0.671418905,0.2457,8,0.399,8
HS766T_PANCREAS,0.3245,8,0.2082,8,3.2746,0.208693713,0,8,0.3614,8,0.6257,8,1.7451,8,0.846,8,0.1058,8,1.3798,8,3.5238,0.134242281,0.2793,8,0.9451,5.188987255,0.9675,8,0.006976,8,3.6998,0.01714126,0.5099,8,3.1435,8,2.7227,0.65779978,0.09305,8,1.8703,1.110060096,1.623,5.293654442,0.6438,8,0.6797,8
EFO27_OVARY,0.2644,8,0.09143,8,2.7526,0.366359919,0,8,0.9129,8,0,8,1.3038,1.616785765,0.1799,8,0,8,NA,NA,4.9402,0.020420121,0.326,8,2.605,0.519779325,2.1093,1.11445117,0.2594,8,0.9157,8,0,8,3.8972,0.020698361,0.3168,8,NA,NA,2.0174,0.525237381,0.4506,8,0.7044,8,0.8427,8
A2780_OVARY,0.6674,6.50890398,0.4157,6.804694176,4.7559,0.031109899,0.03508,8,0.6209,7.146677494,0.9955,4.065729618,0.3709,8,1.3639,3.04247117,0.7732,6.47111845,1.3352,2.500407934,4.5095,0.054937102,0.9908,4.005534172,4.4446,0.061784048,4.6525,0.063862644,0.3406,8,3.6018,0.064197071,0.6759,8,6.5225,0.004648883,2.5348,1.579616904,0.3847,8,2.0551,1.250309587,1.9146,1.494494081,1.8416,1.394972563,0.2241,8
