Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	224.348	1663.723	-2.885	4.40e-183
A2M-AS1	ENSG00000245105.2	0.530	2.230	-1.078	2.16e-180
A4GALT	ENSG00000128274.15	10.500	22.600	-1.037	4.02e-46
AASS	ENSG00000008311.14	3.890	18.780	-2.016	5.48e-113
AATK	ENSG00000181409.11	1.800	15.560	-2.564	5.09e-150
ABC7-42404400C24.1	ENSG00000277758.4	0.550	6.970	-2.362	8.44e-112
ABCA10	ENSG00000154263.17	0.390	5.630	-2.254	1.14e-174
ABCA3	ENSG00000167972.13	31.519	144.046	-2.157	6.59e-38
ABCA5	ENSG00000154265.15	4.650	11.920	-1.193	3.04e-85
ABCA6	ENSG00000154262.12	1.650	15.360	-2.626	7.42e-187
ABCA7	ENSG00000064687.12	13.710	29.009	-1.029	7.21e-44
ABCA8	ENSG00000141338.13	1.380	27.350	-3.574	5.44e-249
ABCA9	ENSG00000154258.16	0.430	7.200	-2.520	1.52e-201
ABCC3	ENSG00000108846.15	67.751	24.989	1.403	7.69e-42
ABCC8	ENSG00000006071.11	0.320	7.620	-2.707	1.22e-103
ABCC9	ENSG00000069431.10	1.790	5.270	-1.168	2.21e-76
ABCG1	ENSG00000160179.18	13.690	30.819	-1.115	8.77e-67
ABHD11	ENSG00000106077.18	47.081	22.060	1.060	7.31e-67
ABHD17A	ENSG00000129968.15	30.060	64.088	-1.067	2.23e-86
ABI3BP	ENSG00000154175.16	8.960	79.368	-3.012	1.75e-186
ABLIM2	ENSG00000163995.18	2.200	5.640	-1.053	2.05e-56
ABLIM3	ENSG00000173210.19	3.670	26.350	-2.550	2.68e-175
ABR	ENSG00000159842.14	34.139	83.198	-1.261	1.13e-95
ABTB1	ENSG00000114626.17	17.200	61.960	-1.791	2.33e-151
AC000089.3	ENSG00000235776.2	2.690	0.460	1.338	4.61e-130
AC000123.3	ENSG00000279265.1	1.910	5.980	-1.262	1.62e-95
AC000123.4	ENSG00000224138.1	0.970	3.500	-1.192	2.33e-108
AC002116.8	ENSG00000248101.2	0.220	2.430	-1.491	3.19e-89
AC002398.12	ENSG00000267328.1	0.490	3.860	-1.706	5.83e-98
AC004540.4	ENSG00000225792.1	0.720	4.460	-1.667	4.74e-124
AC004623.3	ENSG00000279488.1	0.320	2.170	-1.264	3.48e-115
AC005083.1	ENSG00000233834.6	5.640	2.080	1.108	8.87e-65
AC005104.3	ENSG00000223374.1	0.980	5.090	-1.621	1.76e-110
AC005154.6	ENSG00000196295.11	17.890	66.031	-1.827	2.02e-99
AC005154.7	ENSG00000244480.1	0.470	2.780	-1.363	4.62e-152
AC005253.2	ENSG00000268030.1	1.170	5.100	-1.491	2.02e-119
AC005255.3	ENSG00000256210.3	6.550	0.000	2.916	1.41e-137
AC005519.4	ENSG00000258559.2	0.640	3.340	-1.404	3.96e-102
AC005538.3	ENSG00000279809.1	1.660	0.140	1.222	4.72e-78
AC005682.5	ENSG00000228649.8	0.960	2.930	-1.004	7.73e-71
AC005740.6	ENSG00000271871.1	0.190	1.410	-1.018	1.87e-128
AC005943.2	ENSG00000267059.2	1.470	0.070	1.207	1.83e-11
AC006128.2	ENSG00000279716.1	2.310	13.450	-2.126	1.91e-81
AC006273.5	ENSG00000267530.2	1.180	3.660	-1.096	4.92e-51
AC006547.13	ENSG00000236540.7	1.680	4.950	-1.151	8.32e-120
AC007009.1	ENSG00000244239.1	4.950	1.920	1.027	7.34e-42
AC007193.10	ENSG00000269124.1	0.000	1.010	-1.007	2.14e-95
AC007278.3	ENSG00000234389.1	0.040	2.810	-1.873	1.44e-147
AC007326.1	ENSG00000279560.1	1.650	5.500	-1.294	1.98e-34
AC007566.10	ENSG00000244055.1	1.100	6.540	-1.844	3.79e-145
AC007743.1	ENSG00000233251.7	0.410	3.330	-1.619	9.82e-179
AC008268.1	ENSG00000235584.2	0.850	4.900	-1.673	6.70e-20
AC009005.2	ENSG00000267751.5	4.150	1.340	1.138	1.97e-62
AC009065.4	ENSG00000279473.1	3.090	0.000	2.032	8.39e-150
AC009120.6	ENSG00000259972.2	3.990	12.130	-1.396	1.28e-72
AC009299.3	ENSG00000227403.1	3.980	1.420	1.041	9.17e-59
AC010168.1	ENSG00000281457.1	8.150	46.211	-2.367	1.13e-33
AC010976.2	ENSG00000231731.7	0.800	2.840	-1.093	3.74e-87
AC016292.3	ENSG00000108958.4	2.510	0.730	1.021	1.89e-98
AC018766.4	ENSG00000267896.1	3.140	10.810	-1.512	5.84e-82
AC024560.3	ENSG00000214135.8	6.110	22.070	-1.698	2.30e-103
AC025165.8	ENSG00000224713.4	0.130	1.280	-1.013	6.17e-141
AC068580.5	ENSG00000229512.1	0.000	2.270	-1.709	3.38e-78
AC068580.6	ENSG00000235027.1	1.140	4.780	-1.433	5.32e-74
AC068831.15	ENSG00000259661.1	5.940	17.940	-1.448	9.80e-73
AC073850.6	ENSG00000229436.1	0.000	1.710	-1.438	3.86e-104
AC074289.1	ENSG00000225889.7	1.470	7.730	-1.822	4.71e-108
AC079630.2	ENSG00000223914.1	0.240	1.920	-1.236	2.40e-23
AC079630.4	ENSG00000225342.2	1.610	7.640	-1.727	2.02e-30
AC079781.7	ENSG00000232032.1	0.000	1.960	-1.566	2.09e-36
