Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	81.951	1715.959	-4.371	3.34e-280
A2ML1	ENSG00000166535.19	5.610	0.110	2.574	4.72e-96
AADACP1	ENSG00000240602.7	2.100	0.220	1.345	3.00e-62
AASS	ENSG00000008311.14	4.605	19.535	-1.873	9.40e-107
AATK	ENSG00000181409.11	0.995	15.225	-3.024	1.62e-297
ABC7-42404400C24.1	ENSG00000277758.4	0.270	6.640	-2.589	1.34e-170
ABCA10	ENSG00000154263.17	0.445	5.825	-2.240	4.64e-162
ABCA12	ENSG00000144452.14	1.930	0.010	1.537	3.18e-126
ABCA13	ENSG00000179869.14	6.410	0.555	2.253	9.47e-72
ABCA3	ENSG00000167972.13	6.840	136.210	-4.129	7.90e-121
ABCA6	ENSG00000154262.12	1.170	15.875	-2.959	1.26e-235
ABCA7	ENSG00000064687.12	8.340	29.294	-1.698	6.00e-107
ABCA8	ENSG00000141338.13	0.580	27.625	-4.179	0.00e+0
ABCA9	ENSG00000154258.16	0.340	7.580	-2.679	8.71e-237
ABCB1	ENSG00000085563.14	0.830	3.550	-1.314	5.77e-121
ABCC1	ENSG00000103222.18	41.671	18.640	1.119	8.21e-50
ABCC3	ENSG00000108846.15	10.810	25.085	-1.143	5.16e-29
ABCC5	ENSG00000114770.16	68.154	14.885	2.122	6.86e-84
ABCC6	ENSG00000091262.14	1.705	11.180	-2.171	1.14e-141
ABCC6P1	ENSG00000256340.8	0.390	2.370	-1.278	3.96e-114
ABCC8	ENSG00000006071.11	0.150	8.310	-3.017	8.96e-126
ABCC9	ENSG00000069431.10	1.100	5.335	-1.593	1.90e-132
ABCD4	ENSG00000119688.20	22.560	47.831	-1.051	1.16e-89
ABI3	ENSG00000108798.8	6.675	18.260	-1.327	4.25e-98
ABI3BP	ENSG00000154175.16	4.930	81.145	-3.792	3.84e-237
ABLIM2	ENSG00000163995.18	1.865	5.745	-1.235	3.46e-54
ABLIM3	ENSG00000173210.19	2.050	26.635	-3.180	2.08e-250
ABR	ENSG00000159842.14	23.185	83.505	-1.805	7.69e-161
ABRACL	ENSG00000146386.7	92.065	28.521	1.657	3.30e-147
ABTB1	ENSG00000114626.17	15.250	62.904	-1.975	3.15e-168
AC000123.3	ENSG00000279265.1	1.455	6.140	-1.540	5.00e-129
AC000123.4	ENSG00000224138.1	0.740	3.575	-1.395	2.10e-135
AC002116.8	ENSG00000248101.2	0.620	2.465	-1.097	1.66e-52
AC002398.12	ENSG00000267328.1	0.180	3.885	-2.050	1.05e-155
AC004540.4	ENSG00000225792.1	0.350	4.320	-1.979	1.07e-154
AC004540.5	ENSG00000214870.8	0.620	2.890	-1.264	1.65e-111
AC004623.3	ENSG00000279488.1	0.380	2.210	-1.218	1.32e-112
AC004967.7	ENSG00000243554.1	2.295	0.635	1.011	8.92e-109
AC005104.3	ENSG00000223374.1	0.955	5.230	-1.672	2.22e-117
AC005154.6	ENSG00000196295.11	16.740	67.069	-1.940	2.82e-135
AC005154.7	ENSG00000244480.1	0.280	2.805	-1.572	3.89e-193
AC005253.2	ENSG00000268030.1	1.370	5.205	-1.389	1.58e-95
AC005255.3	ENSG00000256210.3	5.210	0.000	2.635	3.12e-125
AC005336.4	ENSG00000267056.2	1.160	0.050	1.041	2.78e-53
AC005519.4	ENSG00000258559.2	0.575	3.420	-1.489	1.13e-116
AC005537.2	ENSG00000232006.8	1.790	0.000	1.480	2.14e-145
AC005538.3	ENSG00000279809.1	2.280	0.150	1.512	4.55e-115
AC005740.6	ENSG00000271871.1	0.110	1.465	-1.151	3.63e-164
AC005753.1	ENSG00000278925.1	0.040	1.290	-1.139	6.23e-169
AC005944.2	ENSG00000267469.1	4.785	14.015	-1.376	2.75e-26
AC006011.4	ENSG00000244563.1	14.245	5.880	1.148	1.13e-95
AC006116.20	ENSG00000267710.5	3.420	1.055	1.105	4.14e-38
AC006128.2	ENSG00000279716.1	2.315	13.575	-2.136	9.66e-103
AC006129.2	ENSG00000268027.5	1.040	3.200	-1.042	4.13e-59
AC006262.5	ENSG00000268621.5	3.530	0.000	2.179	5.97e-83
AC006273.5	ENSG00000267530.2	0.410	3.530	-1.684	1.18e-132
AC006449.2	ENSG00000279119.1	15.144	34.695	-1.145	2.29e-76
AC006547.13	ENSG00000236540.7	1.635	4.995	-1.186	1.10e-114
AC006547.14	ENSG00000234409.6	0.110	1.430	-1.130	6.85e-140
AC006942.4	ENSG00000269194.1	0.485	2.510	-1.241	6.61e-142
AC007009.1	ENSG00000244239.1	0.245	1.870	-1.205	4.02e-30
AC007193.10	ENSG00000269124.1	0.000	1.025	-1.018	2.66e-124
AC007278.3	ENSG00000234389.1	0.040	2.915	-1.912	2.75e-163
